imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt2023453,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,diaryofawimpykid3,Diary of a Wimpy Kid: Dog Days,8/3/12,1
tt1600195,Abduction,Abduction,abduction11,Abduction,9/22/11,1
tt1866249,The Sessions,The Sessions,sixsessions,The Sessions,11/8/12,1
tt1885265,Good Deeds,Tyler Perry's Good Deeds,gooddeeds,Tyler Perry's Good Deeds,2/24/12,1
tt1767382,Silent House,Silent House,silenthouse,Silent House,3/9/12,1
tt1532503,Beginners,Beginners,beginners,Beginners,6/10/11,0
tt1521197,Anonymous,Anonymous,anonymous,Anonymous,10/28/11,1
tt1306980,50/50,50/50,50fifty,50/50,9/30/11,1
tt1477837,Cedar Rapids,Cedar Rapids,cedarrapids,Cedar Rapids,3/28/11,0
tt1506999,Haywire,Haywire,haywire,Haywire,1/18/12,1
tt1351685,Jack the Giant Slayer,Jack the Giant Slayer,jackthegiantkiller,Jack the Giant Slayer,2/28/13,1
tt1517489,Spy Kids: All the Time in the World in 4D,Spy Kids: All the Time in the World in 4D,spykids4,Spy Kids: All the Time in the World,8/18/11,1
tt1663143,Fun Size,Fun Size,funsize,Fun Size,10/25/12,1
tt1308729,Bullet to the Head,Bullet to the Head,bullettothehead,Bullet to the Head,1/31/13,1
tt2091473,Promised Land,Promised Land,promisedland2012,Promised Land (2012),1/8/13,1
tt1781769,Anna Karenina,Anna Karenina,annakarenina2012,Anna Karenina,9/9/12,0
tt1650043,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,diaryofawimpykid2,Diary of a Wimpy Kid: Rodrick Rules,3/19/11,0
tt1441326,Martha Marcy May Marlene,Martha Marcy May Marlene,marthamarcymaymarlene,Martha Marcy May Marlene,12/21/11,0
tt0882977,Snitch,Snitch,snitch,Snitch,2/21/13,1
tt1411664,Bucky Larson: Born to Be a Star,Bucky Larson: Born to be a Star,borntobeastar,Bucky Larson: Born to Be a Star,5/28/11,0
tt1692486,Carnage,Carnage,carnage2011,Carnage (2011),9/16/11,1
tt1710396,Joyful Noise,Joyful Noise,joyfulnoise,Joyful Noise,1/13/12,0
tt1531663,Everything Must Go,Everything Must Go,everythingmustgo,Everything Must Go,5/13/11,0
